rickroll,https://i.ytimg.com/vi/dQw4w9WgXcQ/maxresdefault.jpg,https://www.youtube.com/watch?v=dQw4w9WgXcQ,"Даже не знаю, что написать",idk what to write
hollow-knight,https://i.ytimg.com/vi/yQxwbZsL14Y/maxresdefault.jpg,https://www.youtube.com/watch?v=yQxwbZsL14Y,Ждём силксонг,waiting for silksong
